trial_number,trial_type,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_reversal,staircase_reversal_num,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,threshold_low1,threshold_low2,threshold_low3,threshold_low4,threshold_low6,threshold_high1,threshold_high2,threshold_high3,threshold_high4,threshold_high6,frame_rate,participant,psychopyVersion,frame_rate_detected
861,"['low', 2]",2,black,45,right,down,low,black_low_45_down,white_low_135_down,5,left,0.7955757,0,5,81,1,TRUE,30,1,1,1,TRUE,TRUE,low_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
862,"['low', 6]",6,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.2324477,1,2,83,1,FALSE,16,1,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
863,"['high', 2]",2,black,135,left,down,high,black_high_135_down,white_high_45_down,8,left,2.0419015,1,8,80,1,FALSE,27,1,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
864,"['high', 1]",1,black,45,right,down,high,black_high_45_down,white_high_135_down,28,right,0.683081,1,28,64,1,TRUE,30,1,1,1,TRUE,TRUE,high_1,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
865,"['high', 6]",6,black,45,right,up,high,black_high_45_up,white_high_135_up,4,right,0.2822508,1,4,86,0,TRUE,30,1,1,1,TRUE,TRUE,high_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
866,"['high', 1]",1,black,45,right,up,high,black_high_45_up,white_high_135_up,28,right,0.3302472,1,28,64,1,TRUE,30,1,1,1,TRUE,TRUE,high_1,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
867,"['high', 3]",3,white,45,left,up,high,white_high_45_up,black_high_135_up,6,left,0.3560289,1,6,74,1,TRUE,30,1,1,1,TRUE,TRUE,high_3,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
868,"['low', 4]",4,black,45,right,up,low,black_low_45_up,white_low_135_up,1,left,0.5846831,0,1,87,1,FALSE,22,1,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
869,"['high', 1]",1,black,135,left,down,high,black_high_135_down,white_high_45_down,28,left,0.1221899,1,28,64,1,TRUE,30,1,1,1,TRUE,TRUE,high_1,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
870,"['high', 1]",1,black,45,right,down,high,black_high_45_down,white_high_135_down,28,right,0.1464561,1,28,64,1,TRUE,30,1,1,1,TRUE,TRUE,high_1,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
871,"['high', 4]",4,black,135,left,down,high,black_high_135_down,white_high_45_down,7,right,0.4965836,0,7,73,1,TRUE,30,1,1,1,TRUE,TRUE,high_4,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
872,"['low', 6]",6,black,45,right,up,low,black_low_45_up,white_low_135_up,1,right,1.0990234,1,1,84,1,FALSE,16,1,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
873,"['high', 6]",6,black,45,right,down,high,black_high_45_down,white_high_135_down,4,right,0.2158005,1,4,86,0,TRUE,30,1,1,1,TRUE,TRUE,high_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
874,"['low', 2]",2,black,45,right,down,low,black_low_45_down,white_low_135_down,5,left,0.3442336,0,5,81,1,TRUE,30,1,1,1,TRUE,TRUE,low_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
