trial_number,trial_type,mask_present,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,frame_rate,participant,psychopyVersion,frame_rate_detected
814,"['high', 8, 2, True]",TRUE,8,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,0.4847253,1,120,5,3.2.2021,119.9868015
815,"['high', 3, 2, True]",TRUE,3,white,45,left,up,high,white_high_45_up,black_high_135_up,2,left,0.1989432,1,120,5,3.2.2021,119.9868015
816,"['high', 1, 2, False]",FALSE,1,black,135,left,down,high,black_high_135_down,white_high_45_down,2,left,0.9077806,1,120,5,3.2.2021,119.9868015
817,"['low', 8, 2, True]",TRUE,8,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.2905926,1,120,5,3.2.2021,119.9868015
818,"['low', 1, 2, True]",TRUE,1,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.6258243,1,120,5,3.2.2021,119.9868015
819,"['low', 16, 2, True]",TRUE,16,white,45,left,up,low,white_low_45_up,black_low_135_up,2,left,0.4748897,1,120,5,3.2.2021,119.9868015
820,"['low', 2, 2, True]",TRUE,2,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.0641359,1,120,5,3.2.2021,119.9868015
821,"['low', 1, 2, False]",FALSE,1,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,1.2322986,1,120,5,3.2.2021,119.9868015
822,"['low', 8, 2, True]",TRUE,8,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.2196658,1,120,5,3.2.2021,119.9868015
823,"['high', 2, 2, True]",TRUE,2,black,45,right,down,high,black_high_45_down,white_high_135_down,2,left,0.1499821,0,120,5,3.2.2021,119.9868015
824,"['high', 32, 2, True]",TRUE,32,white,45,left,down,high,white_high_45_down,black_high_135_down,2,left,0.2466008,1,120,5,3.2.2021,119.9868015
825,"['high', 3, 60, False]",FALSE,3,white,45,left,up,high,white_high_45_up,black_high_135_up,60,left,0.3114004,1,120,5,3.2.2021,119.9868015
826,"['low', 8, 2, True]",TRUE,8,black,135,left,up,low,black_low_135_up,white_low_45_up,2,left,0.1712044,1,120,5,3.2.2021,119.9868015
827,"['high', 2, 2, True]",TRUE,2,black,45,right,up,high,black_high_45_up,white_high_135_up,2,left,0.3167776,0,120,5,3.2.2021,119.9868015
828,"['low', 64, 2, True]",TRUE,64,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.2780117,1,120,5,3.2.2021,119.9868015
829,"['high', 1, 2, False]",FALSE,1,black,135,left,down,high,black_high_135_down,white_high_45_down,2,left,0.4330614,1,120,5,3.2.2021,119.9868015
830,"['high', 3, 2, True]",TRUE,3,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,0.1470378,1,120,5,3.2.2021,119.9868015
831,"['high', 8, 2, True]",TRUE,8,black,45,right,up,high,black_high_45_up,white_high_135_up,2,left,0.7799342,0,120,5,3.2.2021,119.9868015
832,"['high', 64, 2, True]",TRUE,64,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.2769938,1,120,5,3.2.2021,119.9868015
833,"['high', 3, 60, False]",FALSE,3,black,135,left,up,high,black_high_135_up,white_high_45_up,60,left,0.6894275,1,120,5,3.2.2021,119.9868015
834,"['high', 2, 2, True]",TRUE,2,black,135,left,up,high,black_high_135_up,white_high_45_up,2,left,1.4159763,1,120,5,3.2.2021,119.9868015
835,"['high', 4, 2, True]",TRUE,4,black,135,left,up,high,black_high_135_up,white_high_45_up,2,right,0.0444144,0,120,5,3.2.2021,119.9868015
836,"['low', 4, 2, True]",TRUE,4,black,135,left,down,low,black_low_135_down,white_low_45_down,2,left,0.1159292,1,120,5,3.2.2021,119.9868015
837,"['low', 8, 2, True]",TRUE,8,black,135,left,up,low,black_low_135_up,white_low_45_up,2,left,0.7622597,1,120,5,3.2.2021,119.9868015
838,"['low', 1, 2, True]",TRUE,1,black,135,left,up,low,black_low_135_up,white_low_45_up,2,right,0.3114778,0,120,5,3.2.2021,119.9868015
